control_id,name,city,state,reason,split,status,matched_by,matched_facility,matched_state,matched_tier,why_missing
ADL-217,Synergy Modular,,,,sealed,MISSING,,,,,not in any source we hold
ADL-218,Wind River Built,,,,dev,HAVE,name,Wind River Built,TN,T1,
ADL-219,Off-Site,,,,dev,MISSING,,,,,in a raw source but not published
ADL-220,Azure Printed Homes,,,,dev,MISSING,,,,,not in any source we hold
ADL-221,Assembly OSM,,,,sealed,MISSING,,,,,not in any source we hold
ADL-222,Stella Domo,,,,dev,HAVE,name,"Stella Domo, LLC",TX,T2,
ADL-223,NEXGEN Building Products,,,,dev,MISSING,,,,,not in any source we hold
ADL-224,Nibbi Prefab,,,,dev,MISSING,,,,,not in any source we hold
ADL-225,GHOST FACTORY,,,,dev,MISSING,,,,,not in any source we hold
ADL-226,G-pod,,,,dev,MISSING,,,,,not in any source we hold
ADL-227,Irontown Modular,,,,dev,HAVE,name,Irontown Modular,UT,T2,
ADL-228,Blue Horse Building,,,,dev,MISSING,,,,,not in any source we hold
ADL-229,Tiny Home Tours,,,,dev,MISSING,,,,,not in any source we hold
ADL-230,Impresa Modular,,,,dev,MISSING,,,,,not in any source we hold
ADL-231,Green Canopy NODE,,,,dev,MISSING,,,,,not in any source we hold
ADL-232,Reframe Systems Inc,,,,dev,HAVE,name,Reframe Systems Inc,MA,T1,
ADL-233,Stream Modular,,,,sealed,MISSING,,,,,not in any source we hold
ADL-234,True Volumetric Corp,,,,dev,HAVE,name,True Volumetric Corp,ON,T1,
ADL-235,SBCA,,,,sealed,MISSING,,,,,not in any source we hold
ADL-236,"ASSEMBLAGEworks, Inc.",,,,sealed,MISSING,,,,,not in any source we hold
ADL-237,Promise Robotics,,,,dev,MISSING,,,,,not in any source we hold
ADL-238,Housing Growth Partners,,,,dev,MISSING,,,,,not in any source we hold
ADL-239,"Rmax, a Sika Company",,,,dev,MISSING,,,,,not in any source we hold
ADL-240,Slab to Ridge,,,,dev,MISSING,,,,,not in any source we hold
ADL-241,4Ward Solutions Group,,,,dev,MISSING,,,,,not in any source we hold
